# Shadow tomography log started 2020-01-14 05:35:58
# Dimension = 16
# True state = (-0.01368351  0.08298799  0.31013530  0.05415421 -0.04716125 -0.36927067 -0.27572506 -0.08145328  0.19790431 -0.02259635  0.35722066  0.00981079  0.13155062  0.07559725  0.21713843  0.06203123  0.25206411 -0.01016464 -0.00354999  0.12071034 -0.06863492  0.00802327  0.19277117 -0.21116087  0.02150632  0.21004151 -0.05133267  0.08808471  0.23186726  0.28468726 -0.15257532  0.23099305)
# N        C              re0         im0         re1         im1         re2         im2         re3         im3         re4         im4         re5         im5         re6         im6         re7         im7         re8         im8         re9         im9        re10        im10        re11        im11        re12        im12        re13        im13        re14        im14        re15        im15
  640524   11883   0.11134139  0.05946570 -0.16524771 -0.09724516 -0.03873895  0.27444923 -0.17219682  0.05448347 -0.13441260  0.03062719 -0.04443205 -0.06518198  0.14497925  0.22081913 -0.18167212 -0.16980284  0.17783526 -0.01949523 -0.01349722 -0.04575333 -0.08763529 -0.10246839  0.24720166 -0.32072784 -0.13886350  0.26128271  0.06555966  0.52553945 -0.09723501  0.27656268 -0.09777167 -0.03219681
  652431   11907   0.20432414 -0.14860649  0.06093151  0.26020362  0.20568140 -0.00549904 -0.08641827 -0.16745912 -0.14401252 -0.02934482  0.04055923  0.07575868 -0.43198850  0.05859709  0.18619823  0.24092082  0.04281221 -0.02307972  0.16990175 -0.06507282 -0.14516830 -0.05649156 -0.02684096  0.18847710 -0.32051074 -0.00393195  0.26840776  0.02542522 -0.04026201  0.31912206 -0.00932596 -0.31654935
  669418   16987  -0.21386678  0.21534965  0.48735373  0.02551677 -0.07007075  0.09236703 -0.07617979 -0.02699322 -0.24590975  0.31044943  0.15244523  0.03221372 -0.21961757 -0.20044923 -0.10966752  0.04391641 -0.10407697 -0.04934114 -0.11562691  0.17193438  0.18276343  0.28160435  0.22615085 -0.11865790  0.01837396  0.10473477  0.17611052  0.07699660 -0.04569993  0.02327540  0.28343390  0.03019497
  675022   5604    0.00567191 -0.31369610  0.13115033 -0.12214765  0.01565970 -0.28273977 -0.08592337 -0.21427962  0.03198824 -0.01187471 -0.04818151  0.04197502 -0.01053046  0.17622487 -0.08023004 -0.29633370 -0.07897521  0.28362950 -0.06492597 -0.02189379  0.14946974  0.04550950 -0.12762538  0.04773430  0.25695494 -0.37520349  0.23853191  0.24253112 -0.10888238  0.30543744  0.10754259  0.17804654
  686079   11057  -0.13400911  0.44783801 -0.01988255  0.20761085  0.12348156 -0.13419148 -0.11621212 -0.00941629  0.07540411 -0.12532196 -0.01706737  0.32571917 -0.09190111  0.23236354  0.27358322 -0.07150839  0.02384578  0.18055814  0.00788127 -0.01578860 -0.04081587 -0.13043964 -0.01276909 -0.26835182 -0.11111099 -0.14584841  0.26173006  0.15371119  0.08889673 -0.36884831 -0.00822764  0.16387990
  693693   7614    0.00327534 -0.01164128  0.06383061 -0.27285954  0.01671623 -0.27290028 -0.17954587 -0.09922558 -0.22006412 -0.15837501 -0.34168752  0.04415421  0.12135080 -0.12549713  0.09742647  0.11109534 -0.21792893 -0.21212969  0.03018532 -0.15937966  0.23534143  0.11442826 -0.32412003 -0.26198272 -0.39390557  0.10733360 -0.14095153  0.05004611  0.01633464  0.04006344  0.07865999  0.04340101
  726939   33246  -0.02411761 -0.14415772  0.24343448 -0.24448728  0.42813309  0.01843173 -0.10742457  0.15712146  0.05597974  0.24392911  0.07242351  0.20425746  0.21053276 -0.27218251  0.22776350 -0.12061773  0.29989938 -0.06371299 -0.01282915  0.25432123 -0.09256437 -0.11266655 -0.06544634  0.16996435 -0.13878198 -0.13320388 -0.13507396  0.24088525  0.03115904 -0.08221412 -0.09482026 -0.04508705
  739141   12202  -0.16961483 -0.09852930  0.32675906  0.21651307 -0.21084552 -0.06871528  0.19271726 -0.06960256  0.13179257  0.25001558 -0.17142352 -0.13094897 -0.16048710  0.00943964 -0.23594333  0.01653431  0.30667493 -0.05549907  0.11543162 -0.18147089  0.14690744 -0.34350376 -0.28669368 -0.03881172 -0.09444266  0.11067289  0.00043564  0.12256691 -0.10934690 -0.15175779 -0.24760975  0.09675839
  813772   74631  -0.34936517  0.06375383 -0.02819767  0.09584108 -0.09915918  0.23918139 -0.26143498  0.20670708  0.21695191 -0.11853371 -0.05370495 -0.23222463 -0.12724063  0.05261057  0.14064816 -0.15434677  0.07971621  0.05132863  0.08759818  0.09937402 -0.13206507  0.44293597 -0.45538605  0.03892385  0.00900934  0.00716293 -0.04034734  0.09392232 -0.12472061  0.07745382 -0.01020712 -0.15487250
  816735   2963   -0.04004659  0.24543004 -0.07196251 -0.19231536  0.02178259 -0.04520858  0.00425137  0.19527221 -0.42659740  0.19317248  0.22773705 -0.23119237 -0.12304021 -0.00674141 -0.00503706  0.22464422 -0.03852439  0.13489921  0.03028188 -0.17919942 -0.23405519 -0.00937597 -0.16496625  0.02818467 -0.00090928 -0.29288247 -0.08399101  0.00742015 -0.00464764  0.14350065 -0.30767937  0.34825093
  827226   10491   0.03129110  0.28290545  0.22516114  0.11315732  0.11961634 -0.29203334 -0.07847366 -0.02664566  0.07601700 -0.22960006 -0.01798232 -0.42796876  0.05164946 -0.18847766 -0.03216870 -0.04877995 -0.03407675  0.23015970 -0.09443543  0.08700618 -0.19283369 -0.29215227 -0.03328373  0.08081514  0.08118563  0.23773847 -0.11317865  0.11502156  0.31538537  0.19187201  0.18871592 -0.05996954
  847586   20360   0.00104966  0.29190313 -0.09511731  0.09700890  0.03201337 -0.16274361 -0.04768928 -0.32479206  0.02466333  0.34152179  0.06223087  0.02348596  0.16241032  0.10176709 -0.23763464 -0.12472870 -0.16972396 -0.26678737 -0.16893300 -0.16797498 -0.13287672  0.11653063 -0.11727619  0.11623032  0.03146391 -0.21401666 -0.09841424  0.13704794  0.08602148 -0.08015886 -0.10541207 -0.46389246
  862661   15075   0.04064351  0.20825165 -0.14616398  0.06817399 -0.19101471 -0.28488450 -0.02265372 -0.23863651  0.01914568 -0.02582233  0.12431579  0.19328797  0.00926399  0.01077325  0.15319031  0.20594878  0.45398092 -0.15471029 -0.03111122  0.32969621  0.19760389  0.14274579 -0.05704827 -0.04611324  0.21819223  0.10673810 -0.15220561 -0.00379668  0.02321691  0.32820373 -0.17436006  0.09264614
  904717   42056   0.13012051  0.13358250  0.09513989  0.10368153 -0.12086274  0.04985353  0.03363627  0.20983367  0.19274359  0.08759508 -0.23829924  0.32102347 -0.21653613 -0.25296810 -0.03946004 -0.35114113 -0.07008652 -0.03817905 -0.10463945 -0.09206079 -0.17756826 -0.05244062  0.05418862 -0.23744086 -0.07032104 -0.17586515 -0.18091155 -0.26282891  0.07293827  0.40930635 -0.10596042  0.04017810
  941831   37114   0.08547284  0.00124142 -0.12104683  0.10825154  0.28649392 -0.08479452 -0.57336058 -0.00401216  0.03937159  0.15711962 -0.09959533  0.10624127 -0.14972691  0.04568367 -0.36600157  0.02618741  0.12372619  0.02962578  0.27513172 -0.11733741 -0.00417108  0.04315217  0.05963458  0.10291005  0.13522190  0.12327683 -0.24350474 -0.15092117 -0.06315563 -0.10995396  0.18112472  0.23576971
  947905   6074    0.07216181  0.06844543  0.05818639 -0.13096080 -0.06297743  0.14749389 -0.00787675 -0.20700311  0.18131841 -0.05325827  0.22222730  0.07853500  0.10798681 -0.35652653  0.13221747  0.02607529  0.23075267  0.24548952  0.16354932 -0.64042724  0.08679517  0.21690390  0.04792479 -0.01772338  0.07487973  0.05782085  0.06740223  0.06851348  0.15732845  0.00803913  0.00302347 -0.04611958
  950423   2518    0.18859830 -0.35733970 -0.28469613 -0.03048845 -0.08721071 -0.19689524  0.00273472  0.09982000 -0.03982502  0.26815537  0.02008793 -0.07114181  0.30822475 -0.04862531  0.02901305  0.08852938  0.00354079 -0.06941798  0.48436365 -0.18534870  0.12234374  0.20603833  0.12136097  0.27330207  0.10204831  0.14825217  0.02153918 -0.16829882 -0.02943489 -0.13079187 -0.11525068  0.01832716
  962861   12438  -0.03899162 -0.00193384 -0.07086839 -0.24027429  0.03258052  0.11508606 -0.23579165 -0.10055009  0.44187932  0.11326005 -0.20338424  0.00130750 -0.09378177  0.01311840 -0.03731239 -0.40713206  0.00592884  0.00296812  0.19033193  0.00581237 -0.23899596  0.02332381  0.34945429 -0.02674042 -0.01247606  0.02986341  0.37951957  0.14537380  0.16463735  0.11975508 -0.03702801  0.06561491
  981717   18856   0.16241196 -0.21736809 -0.02626442  0.30489327  0.19204737  0.32909534 -0.09602381 -0.01057469 -0.25715890  0.09020305 -0.07208587 -0.05757423 -0.11828811  0.08382010 -0.11600149  0.05276143  0.05865976 -0.06031089  0.01030649 -0.01210603  0.18054257 -0.15114846  0.09675843 -0.25422402  0.15331784  0.32760273  0.10620550  0.06791576  0.11714394  0.32789365 -0.26271971 -0.29055744
  985732   4015    0.03099377 -0.16838952  0.12064275 -0.37361291 -0.14281457  0.13328691 -0.18203789 -0.09462624 -0.04449522 -0.05459930 -0.01116940  0.22328594  0.22765407  0.19479669  0.25382291 -0.20036317  0.18219783 -0.08696823  0.07449142 -0.23245556  0.31208060  0.02780794 -0.26165516 -0.37536600 -0.16034636 -0.05420707 -0.12813915  0.14867751 -0.04326733 -0.02852695 -0.09136959  0.03034656
