# Shadow tomography log started 2019-12-30 18:49:40
# Dimension = 4
# True state = (-0.10347576  0.40046587  0.27090373 -0.62819040 -0.17220832  0.44102396 -0.00859407 -0.36969738)
# N        C              re0         im0         re1         im1         re2         im2         re3         im3
  5775108  11866  -0.53947246 -0.75364221  0.06553173 -0.06712127 -0.07948548  0.09434666 -0.07730613  0.33316322
  5800883  25775  -0.03042913 -0.24744513 -0.64497895  0.29223146 -0.08146837 -0.43745688  0.43725579 -0.21736985
  5820887  20004   0.11941386 -0.26044247 -0.29158750 -0.35459516 -0.76577900 -0.11729985 -0.32492457 -0.03736780
  5888282  67395   0.70007362 -0.27520296  0.20602471  0.39410199  0.01878964 -0.05103152 -0.21284565  0.43374780
  5964479  76197  -0.33490480  0.23861255  0.07072489  0.58793213 -0.47027005 -0.41481000  0.21547979  0.20145428
  5967164  2685   -0.14004839 -0.40417766  0.15947954  0.46408676  0.00324608  0.06028441 -0.32808020 -0.68186161
  6019075  51911  -0.38334001 -0.53961102  0.06537497  0.02468579 -0.65823601 -0.22426092  0.21837490  0.16041170
  6035847  16772  -0.37793798 -0.30423202 -0.34862288  0.65474357  0.37057527 -0.00009125 -0.07077695 -0.26840881
  6095769  59922   0.28454778  0.40564839 -0.38012975  0.29059999 -0.54267582 -0.26784011 -0.03601006 -0.39749574
  6144391  48622  -0.27494684  0.07322788 -0.40851683 -0.22148743 -0.11236872 -0.01562878 -0.75835773  0.33929602
  6188222  43831   0.49629789 -0.21195718 -0.66978521  0.13660286 -0.42817026  0.14468007 -0.03054838  0.19051167
  6210333  22111  -0.27767132  0.32485171  0.13696244 -0.12549093 -0.44653090  0.68392650 -0.33055706  0.08031214
  6285677  75344  -0.56037930 -0.04602895 -0.63234425 -0.25951421  0.15975522  0.13653354  0.24769669 -0.33336573
  6320624  34947  -0.02620870  0.45749541  0.06159380  0.16498509 -0.28877133 -0.03225792  0.80146088  0.17952210
  6407348  86724   0.05280993  0.11817263 -0.16053191 -0.44934883  0.17786886 -0.71300333  0.05896468 -0.46051445
  6425281  17933  -0.29158444  0.64861150  0.52249164  0.05947868 -0.40893924 -0.20565029  0.06637706  0.06178310
  6480052  54771  -0.22589509  0.26360695  0.00637653 -0.26157897  0.35616429  0.15160765 -0.80765827  0.09417437
  6504657  24605   0.27862306 -0.52856405  0.64125792 -0.12690139 -0.10383642 -0.29974271 -0.28486918  0.18410704
  6560925  56268   0.05827606 -0.23394888  0.35133608 -0.44464563  0.54619048 -0.33004688 -0.45732529 -0.06575437
  6578094  17169  -0.74262302  0.21168392  0.17067941  0.08513572  0.43758041 -0.03612799  0.36484524  0.20353749
  6593620  15526  -0.02487384  0.54392005  0.23203820  0.00685712 -0.13093393  0.30636070 -0.55615161  0.47889282
  6692789  99169   0.20223230 -0.09059330  0.25608216  0.72319212  0.02483213 -0.53697855 -0.05522665  0.26513667
  6732813  40024  -0.07998329  0.22341031  0.11994597 -0.24155526  0.00446374  0.25270644 -0.70986319 -0.55060722
  6736544  3731    0.25759807  0.50767732 -0.28213005 -0.59486925 -0.40290130 -0.15776677  0.23476610 -0.01025902
  6794077  57533  -0.69129298  0.19571243 -0.66357833  0.16365375  0.05229233 -0.10484878 -0.03017364 -0.04531778
  6894424  100347 -0.13856699  0.29018498  0.06828426 -0.14837701  0.32794333  0.79222796  0.33260176  0.15529807
  6904015  9591   -0.22943539  0.84246309  0.36717147 -0.27320048 -0.11406974  0.04073010 -0.00232949 -0.11612784
  7046459  142444  0.29517125  0.17114590  0.05763176  0.55535080 -0.66233790 -0.36019844  0.00305593  0.05833810
  7052333  5874   -0.30131117  0.12716633 -0.57413462  0.06916230 -0.34793168  0.47337672 -0.45853418  0.05683971
  7085600  33267   0.11621069 -0.02708750  0.24467163  0.29074472  0.26690775 -0.02264999 -0.64588003 -0.59367572
  7126628  41028  -0.23920689 -0.04149487 -0.16107867 -0.43740071  0.46395843 -0.47518753 -0.10060723  0.52212076
  7134530  7902   -0.45408848 -0.21804802 -0.50927338  0.38043120 -0.11084323  0.36850733 -0.31329871  0.30972806
  7168147  33617   0.48164713  0.47084982 -0.00862346 -0.15859634 -0.30535343  0.21379458 -0.32498836  0.52585459
  7255826  87679  -0.11809250  0.46870844 -0.45418097 -0.38358765  0.29272985  0.43152741  0.22197807 -0.30292869
  7306951  51125   0.41122818  0.66387507  0.24259029  0.18847461 -0.39414981 -0.20923166  0.26207539  0.16725154
  7320458  13507   0.01208843  0.06233487  0.27472929 -0.44803381 -0.02446743  0.25994478 -0.38945578  0.70704456
  7417308  96850  -0.41775533  0.40307862  0.22164268 -0.54695985 -0.05859695  0.26473802  0.22459873 -0.43675296
  7448846  31538  -0.08385006 -0.20519940 -0.33056348 -0.41455279 -0.65229195 -0.48341854 -0.10157344 -0.01551479
  7517942  69096  -0.16661128  0.56708572  0.28597435  0.03049137 -0.33585549 -0.40022933 -0.35178633  0.41377212
  7589638  71696   0.27968212  0.24454411 -0.68761274  0.11800513 -0.25582088 -0.43524909  0.04835798 -0.34353312
  7601224  11586  -0.54866995 -0.14716402 -0.51875414  0.18211990 -0.19486722  0.16752093  0.21506244  0.51258383
